log_data-ranges_avg,log_data-ranges_std_deviation,log_data-types,log_data-types_count,log_interval-messages,log_messages_count,network_fragmentation-score,network_header-length_avg,network_header-length_std_deviation,network_interval-packets,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_std_deviation,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_ips_all_count,network_ips_src_count,network_mss_avg,network_mss_std_deviation,network_packet-size_min,network_packets_all_count,network_packets_src_count,network_payload-length_std_deviation,network_ports_all_count,network_ports_dst_count,network_protocols_all_count,network_protocols_dst_count,network_protocols_src_count,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,label
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,0.0198044900739895,2.0,2.0,0.0,42.38638407091564,44.0,40.0,1.9623219281613036,2,2,1460.0,0.0,60.0,252469,101118,0.0,62071,60952,1,1,1,151351,0,150622,0,12.386994046793864,18.0,4.0,6.856161310600861,6.845309277574673e-06,0.059013466,2.5e-08,0.0001230558685624,64.0,64.0,64.0,0.0,38510.820100685625,64240.0,0.0,31477.7988182254,ddos
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,0.0195781304451675,1.9999921687171576,2.0,0.0039575881994066,42.38737832144284,959.0,40.0,2.672553492927619,4,3,1460.0,0.0,60.0,255388,102395,1.858087659610218,62216,61350,3,2,3,152992,0,152196,0,12.380664486951074,18.0,4.0,6.857037324373604,6.660581444703745e-06,0.000471317,2.6e-08,3.7213480847500154e-05,64.0,64.0,64.0,0.0,38483.88151222664,64240.0,0.0,31483.256059345895,ddos
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,5.75,2.0,2.0,0.0,57.38461538461539,84.0,52.0,9.841344979519672,2,2,1460.0,0.0,66.0,13,9,9.937080161203165,2,2,2,2,2,12,0,2,0,16.307692307692307,24.0,2.0,5.0135909959385625,0.0035791406923076,0.023514871,3.3e-08,0.0080310220617884,64.0,64.0,64.0,0.0,10379.692307692309,65160.0,502.0,23162.959882551928,bruteforce
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,0.022762761942483,0.0002731543868594,2.0,0.0233716529239984,40.061131951779146,2488.0,36.0,10.529455265943565,10,10,0.0,0.0,60.0,219658,15,10.46467537962206,65916,7,5,5,5,24,219626,0,0,5.0016389710903715,24.0,5.0,0.1622655723160624,2.27475033643209e-05,0.002209764,2.6e-08,8.839960307513629e-05,63.99960847871217,64.0,47.0,0.0640090814977857,512.2853357614387,5098.0,135.0,28.660262527610232,dos
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,3.705707931801334,1.9155749636098984,2.0,0.4021473436574383,329.5298398835517,720.0,40.0,241.73625702333965,207,36,1460.0,0.0,60.0,1350,1189,256.5104578189255,815,442,8,5,7,246,17,59,0,16.34448160535117,24.0,2.0,7.32100071623544,0.0014027294437037,0.025504067,3.3e-08,0.002616167856089,69.32023289665212,255.0,63.0,32.41837917359074,13330.217391304348,65160.0,0.0,25333.455833431937,malware
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,0.0067280134560269,1.9999326397926385,2.0,0.0116067169055641,36.0014145643546,145.0,36.0,0.240379448561727,9,8,1460.0,0.0,60.0,742279,29,0.1097451154953615,2761,1405,5,4,3,6,0,2,0,17.0,24.0,2.0,8.602325267042627,6.714847371406169e-06,0.00049717,2.6e-08,4.108741552938507e-05,63.999955542263145,64.0,53.0,0.0221140934426466,8042.0,29200.0,0.0,12232.549223281305,ddos
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,65.53623188405797,2.0,2.0,0.0,50.0,60.0,40.0,10.0,3,3,1460.0,0.0,60.0,70,35,0.0,35,35,2,2,2,34,0,34,0,11.0,20.0,2.0,9.0,0.0056354891,0.046450255,3.5e-08,0.0091583767064613,64.0,64.0,64.0,0.0,32120.0,64240.0,0.0,32120.0,bruteforce
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,39.74698795180723,2.0,2.0,0.0,50.0,60.0,40.0,10.0,2,2,1460.0,0.0,60.0,84,42,0.0,41,41,2,2,2,40,0,40,0,11.0,20.0,2.0,9.0,0.0024097114761904,0.082810899,3.3e-08,0.0104043957407252,64.0,64.0,64.0,0.0,32120.0,64240.0,0.0,32120.0,bruteforce
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,11.81710213776722,1.6428571428571428,2.0,0.7659860924831148,101.53571428571428,2494.0,40.0,234.4808473460228,19,19,1460.0,0.0,60.0,422,215,233.721010922664,27,27,5,5,5,414,10,8,0,19.547619047619047,24.0,2.0,4.426125796807071,0.0023727111943127,0.028489689,3.2e-08,0.0045910817310423,98.03571428571428,255.0,61.0,73.186397127402,14964.038095238097,65535.0,0.0,25831.348917517815,malware
0.0,0.0,6,0,0.0,0,0.0,20.0,0.0,0.0291553689611942,0.0008979801278163,2.0,0.0423692563933193,40.01495661706395,243.0,40.0,1.0712114780154098,13,13,0.0,0.0,60.0,171496,77,1.071211478015335,65916,12,2,2,1,149,171347,0,0,5.0129157531371,24.0,5.0,0.4535651742604013,2.9154933998460606e-05,0.001297115,2.6e-08,9.951163099459557e-05,64.08018845920604,255.0,64.0,3.9127439884772657,542.6112679012922,65535.0,512.0,1345.6003532168918,dos
