MQTTAbsDeltaLengthVariance,MQTTDeltaLengthVariance,MQTTLengthMax,MQTTLengthVariance,MsgLengthMax,MsgLengthMean,MsgLengthMedian,MsgLengthMin,MsgLengthMode,QoS,bwdMQTTAbsDeltaLengthVariance,bwdMQTTDeltaLengthVariance,bwdMQTTLengthVariance,bwdMsgDeltaLengthVariance,bwdPacketAbsDeltaLengthVariance,bwdPacketDeltaLengthKurtosis,bwdPacketDeltaLengthVariance,bwdPacketDeltaTimeKurtosis,bwdPacketLengthKurtosis,bwdPacketLengthMean,bwdPacketLengthSkewness,bwdPacketLengthStd,bwdPacketLengthVariance,bwdPacketsCount,bwdpacketsRate,clientIDLen,connackCount,connackPercentage,connectPercentage,disconnectPercentage,duration,fwdMQTTAbsDeltaLengthVariance,fwdMQTTDeltaLengthVariance,fwdMQTTLengthVariance,fwdMsgAbsDeltaLengthVariance,fwdMsgDeltaLengthVariance,fwdMsgLengthVariance,fwdPacketAbsDeltaLengthVariance,fwdPacketDeltaLengthVariance,fwdPacketDeltaTimeKurtosis,fwdPacketLengthKurtosis,fwdPacketLengthMean,fwdPacketLengthSkewness,fwdPacketLengthStd,fwdPacketLengthVariance,fwdTobwdPacketRatio,fwdpacketsRate,interPublishTimeMean,interPublishTimeSkewness,interPublishTimeStd,keepAlive,log_data-ranges_avg,log_data-ranges_std_deviation,log_data-types,log_data-types_count,log_interval-messages,log_messages_count,network_fragmentation-score,network_header-length_avg,network_header-length_std_deviation,network_interval-packets,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_std_deviation,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_ips_all_count,network_ips_src_count,network_mss_avg,network_mss_std_deviation,network_packet-size_min,network_packets_all_count,network_packets_src_count,network_payload-length_std_deviation,network_ports_all_count,network_ports_dst_count,network_protocols_all_count,network_protocols_dst_count,network_protocols_src_count,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,packetAbsDeltaLengthVariance,packetDeltaLengthKurtosis,packetDeltaLengthSkewness,packetDeltaLengthVariance,packetLengthKurtosis,packetLengthMax,packetLengthMean,packetLengthMedian,packetLengthMin,packetLengthSkewness,packetLengthVariance,passwordLen,pingreqPercentage,pingrespPercentage,protocolName,protocolNameLength,pubackCount,pubackPercentage,publishPercentage,pubrecCount,pubrecPercentage,pubrelCount,pubrelPercentage,subackCount,subackPercentage,subscribeCount,subscribePercentage,topicLen,totalMQTTDeltaLength,totalMsgDeltaLengthRate,totalMsgLength,totalPacketAbsDeltaLength,totalPacketDeltaLength,totalPacketLength,totalbwdMQTTAbsDeltaLength,totalbwdMQTTDeltaLength,totalbwdMQTTLengthRate,totalbwdMsgAbsDeltaLength,totalbwdMsgDeltaLength,totalbwdPacketAbsDeltaLength,totalbwdPacketDeltaLength,totalfwdMQTTAbsDeltaLength,totalfwdMQTTDeltaLength,totalfwdMQTTLength,totalfwdMsgAbsDeltaLength,totalfwdMsgDeltaLength,totalfwdMsgDeltaLengthRate,totalfwdPacketAbsDeltaLength,totalfwdPacketDeltaLength,totalfwdPacketLength,unsubackPercentage,unsubscribeCount,usernameLen,label_binary,label_multiclass,label_name,source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,3.7685863886202755,0.2154625322407266,-0.03910175246184094,-0.39236352651474843,-0.44227252111813387,-0.6661614287605575,0.20144917093533338,3.2920470097171446,0.6017085669290039,2.8815511251546146,2.0060669402188527,-0.3467743762816469,-0.6507093994137545,-0.8182187050171618,-0.060945633643736334,4.12714025968038,-0.10528457012100262,-0.23704627106729717,1.1152039429017269,-0.29483160275785175,-0.0868257304343514,-0.611838455924894,-0.2877051584394503,-1.4523576264297917,-0.1908986828861707,-0.14497109045705858,-0.17464918391290044,-0.045228942466216275,-1.4672307266033973,-0.21424218639419437,-0.8824142941938515,-0.37609287676343667,-0.5273377016378789,-0.7362696312662432,-0.15644254125767934,-0.6525269154008434,-0.597857592721647,-1.2334082817659575,-0.0906554420771202,-0.8340522427027133,-0.8773489587673277,-1.3091331318055324,-0.2995518194933512,-1.049259514236691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,dos,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,1.8416035664036392,1.3790449522001709,0.5676552701365557,-0.9815859469098791,-0.4433881330919998,-0.708572359673374,-0.2947736168691256,-0.5939910329206165,-0.3467743762816469,-0.5561991576262275,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.4657089803163888,-0.23678399870937797,-0.6625944998690723,-0.4126631382321143,-0.22344816814209345,-0.611838455924894,-0.7962757843533547,-0.33656009164637535,-0.19086383733449647,-0.14497109045705858,-0.1746126606465652,-0.045228942466216275,-0.1511260585315061,-0.02656292233545824,-0.5989774018387292,0.4211711573839723,0.2503606995044446,-0.3143893517781437,-0.12640800928574902,0.16042715499969532,-0.597857592721647,-1.2334082817659575,-0.0906554420771202,-0.8340522427027133,1.1299147793211122,0.7850072820351388,-0.2995518194933512,1.3454199686267343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,malware,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.39176908881451955,0.1032997229081581,0.5676552701365557,1.4111833045421545,-0.4745112416705165,-0.7231310366356226,-0.2947736168691256,-0.6311631232555203,-0.327018026609251,-0.4616889158387004,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.40516159738879826,-0.049446600195660335,-0.6625944998690723,-0.3648626529911382,-0.11497298384482124,-0.611838455924894,-0.2877051584394503,-0.33656009164637535,-0.10378480370061315,-0.14497109045705858,-0.083067093577286,-0.045228942466216275,-0.1527388586966194,-0.02656292233545824,-0.5989774018387292,0.4206983778236674,-0.5313561381871664,-0.5202786027453362,-0.15644242447676904,-0.6493157033708189,-0.731701726583095,-1.2334082817659575,-0.5975754522062258,-0.6084294119173395,-0.8426675690950007,-0.35725112551431815,-0.2995518194933512,-0.9581764791305162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,recon,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.35544079753556374,-1.1517023796268087,0.5676552701365557,-0.5145862755445867,-0.4739989973978438,-0.5811839362536984,-0.2947736168691256,-0.5883985583464068,-0.30726167693685513,-0.4616889158387004,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.4644936793409099,-0.23172588894950757,-0.602416088019814,-0.40593672264431224,-0.21630309612251267,-0.13029345380972054,-0.2877051584394503,0.22133867574533278,-0.18844207149313796,-0.14497109045705858,-0.17342565449066988,-0.045228942466216275,0.23555555013783733,-0.02656292233545824,-0.5989774018387292,0.36574837227070034,-0.4469003048600212,0.27668408823665414,-0.15644172379130739,-0.2375674362590512,1.4943539285411935,0.7751190840881389,-0.5975754522062258,1.5082792041873367,-0.6950515752226306,0.7850072820351388,-0.10236022157527146,-0.5929620315619186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,recon,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.39261888307570225,0.10141037125924332,0.5676552701365557,1.4111859879230515,-0.4822717470589973,-0.5420574919176551,-0.2947736168691256,-0.6366110641916579,-0.08994183054050034,0.6724339856116244,-0.8182187050171618,-0.060945633643736334,-0.2261028163733837,1.1260087987914367,4.694985419603347,-0.6585948350428464,2.7317214762274267,6.9122053474129,-0.13029345380972054,0.22086546747445407,0.22133867574533278,2.1037680087406008,-0.14497109045705858,-0.17464918391290044,-0.045228942466216275,-0.2700965805701842,0.010972930476288986,-0.8824142941938515,0.5097887500866913,-0.5327332537889674,-0.7302284421361783,-0.15644254125767934,-0.6594538434451265,-0.59696913151573,0.7751190840881389,-0.0906554420771202,-0.7566456510137887,-0.8600483295330748,0.8272225970401772,-0.2995518194933512,-0.9634203097259479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,dos,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,0.7645552098128734,1.3790449522001709,0.5676552701365557,-0.9815859469098791,-0.4200370581203047,-0.708572359673374,-0.17102070484222667,-0.6218700928542743,-0.327018026609251,-0.4616889158387004,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.465739211683938,-0.23697133610789167,-0.6625944998690723,-0.4127108433072051,-0.2235564268090568,-0.611838455924894,-0.2877051584394503,-0.33656009164637535,-0.19086383733449647,-0.14497109045705858,-0.17463092227973281,-0.045228942466216275,0.5667492149622527,-0.04533084874133185,1.385080844647128,-0.28750798408039124,9.045958025709333e-06,-0.5494919048993189,-0.1260825408888014,-0.17301768761221095,-0.6062451495103037,-1.2334082817659575,-0.10943025726708708,-0.821881838902592,1.1743470494886366,0.8149980849730811,-0.2028817197327301,1.3610017871796127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,web,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.3925545628695599,-0.9840713631227362,0.5676552701365557,0.2805530878433365,-0.48230659137815846,-0.7267707058761848,-0.2947736168691256,-0.6404561328100462,-0.3467743762816469,-0.5561991576262275,-0.8182187050171618,-0.060945633643736334,-0.2261028163733837,0.3898568601472459,0.16175758288870493,-0.6625944998690723,2.7317214762274267,0.8592467601583251,-1.0933834580400674,-0.7962757843533547,-0.8944588590380835,2.0891851453649384,-0.14497109045705858,-0.17464918391290044,-0.045228942466216275,1.2242841138838874,0.010972930476288986,-0.3155405094836066,0.09117460200000527,-0.5313744186871141,-0.7416205367191124,-0.15644254125767934,-0.6566783617058547,-0.597857592721647,-1.2334082817659575,-0.0906554420771202,-0.8340522427027133,-0.8477593611202366,-1.2924425979965903,-0.2995518194933512,-1.0391921051988466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,dos,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.37327417192649,0.6115467048040165,0.5676552701365557,1.2121629950790613,0.10272860055845541,-0.10802693498061745,-0.2947736168691256,0.3690350321702439,2.340089179164194,1.3340056781243137,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.45966270680654353,-0.21018208812043004,0.577333261519692,-0.3959663619503362,-0.20201295208335104,2.277431556766147,1.2380067193022628,2.452933745312165,-0.1871179405295175,-0.1448129399718545,-0.17382741042035751,-0.045228942466216275,0.5496569465457347,0.010972930476288986,-0.5989774018387292,0.22308051914170646,-0.4679224720994006,-0.36484595128548686,-0.15644172379130739,-0.5269346653142872,0.33908881279004316,0.7751190840881389,-0.10943025726708708,1.2793319864587613,-0.1191996043089395,0.8149980849730811,-0.2995518194933512,0.7729648465169443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,malware,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,0.46267624277932,-0.44339975239241497,-0.37507859576871033,-0.2840690895784908,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.3815286804096011,1.1526997951317972,0.5676552701365557,0.3781487717689542,-0.3853687857798489,-0.10802693498061745,-0.2947736168691256,-0.29528643506823743,4.6120693914897215,3.5077412392374363,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.4551461404946891,-0.18683984826562083,-0.303728587877273,-0.40593672264431224,-0.2082919547672251,1.3143415525358,1.2380067193022628,1.8950349779204572,-0.17858078036933286,-0.14454182485436173,-0.17192820057092503,-0.045228942466216275,0.5399713277763742,0.010972930476288986,-0.5989774018387292,0.25623382034047665,-0.342491618253967,-0.2493135520111142,-0.1564421909149485,-0.2613209363278035,-0.333639778171744,0.7751190840881389,-0.2971784091667558,0.4326597313403125,-0.11716611349913823,0.8149980849730811,-0.2995518194933512,0.7614859754689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,malware,cic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22931171794013436,-0.08847001490595297,-1.9947253486459777,1.4944339814146195,-0.37507859576871033,-0.1545563102578653,-0.26787739324697724,0.2154625322407266,-0.03910175246184094,-0.32300432656003575,-1.167146607449331,0.5676552701365557,-0.6961061545624762,-0.47425881018255633,-0.7094822769835145,-0.2947736168691256,-0.6300524604443294,-0.30726167693685513,-0.3671786740511733,1.2238931701371853,-0.060945633643736334,-0.2261028163733837,-0.46405834764820103,-0.23180082390891307,-0.6571162220776336,-0.4060798378695846,-0.20850847210115178,-0.13029345380972054,-0.2877051584394503,0.22133867574533278,-0.1884594942689751,-0.14497109045705858,-0.17209255526943362,-0.045228942466216275,-0.1511260585315061,0.010972930476288986,-0.5989774018387292,0.42173340289401384,-0.49378433443858316,-0.5518791903346548,-0.15644172379130739,-0.561539796659665,0.8557059987525814,0.7751190840881389,-0.5975754522062258,1.6904778169127537,-0.653059063823881,0.7796284967256165,-0.10236022157527146,-0.7272906290526256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,recon,cic
